Name                                               Project              Compat              Latest               Kind         Platform
fax_derive->proc-macro2                            1.0.106              Removed             Removed              Normal       ---
fax_derive->quote                                  1.0.40               Removed             Removed              Normal       ---
fax_derive->syn                                    2.0.114              Removed             Removed              Normal       ---
fdeflate->simd-adler32                             0.3.8                0.3.9               0.3.9                Normal       ---
foreign-types->foreign-types-macros                0.2.3                ---                 Removed              Normal       ---
foreign-types->foreign-types-shared                0.3.1                ---                 Removed              Normal       ---
foreign-types-macros->proc-macro2                  1.0.106              ---                 Removed              Normal       ---
foreign-types-macros->quote                        1.0.40               1.0.45              1.0.45               Normal       ---
foreign-types-macros->quote                        1.0.40               1.0.45              Removed              Normal       ---
foreign-types-macros->syn                          2.0.114              2.0.117             2.0.117              Normal       ---
foreign-types-macros->syn                          2.0.114              2.0.117             Removed              Normal       ---
futures-lite->fastrand                             2.3.0                2.4.1               2.4.1                Normal       ---
futures-lite->fastrand                             2.3.0                2.4.1               Removed              Normal       ---
futures-lite->futures-core                         0.3.32               ---                 Removed              Normal       ---
futures-lite->futures-io                           0.3.32               ---                 Removed              Normal       ---
futures-lite->parking                              2.2.1                ---                 Removed              Normal       ---
futures-lite->pin-project-lite                     0.2.17               ---                 Removed              Normal       ---
futures-macro->proc-macro2                         1.0.106              Removed             Removed              Normal       ---
futures-macro->quote                               1.0.40               1.0.45              1.0.45               Normal       ---
futures-macro->quote                               1.0.40               Removed             Removed              Normal       ---
futures-macro->syn                                 2.0.114              2.0.117             2.0.117              Normal       ---
futures-macro->syn                                 2.0.114              Removed             Removed              Normal       ---
futures-util->futures-core                         0.3.32               Removed             Removed              Normal       ---
futures-util->futures-macro                        0.3.32               Removed             Removed              Normal       ---
futures-util->futures-task                         0.3.32               Removed             Removed              Normal       ---
futures-util->pin-project-lite                     0.2.17               Removed             Removed              Normal       ---
futures-util->slab                                 0.4.12               Removed             Removed              Normal       ---
getrandom->cfg-if                                  1.0.4                ---                 Removed              Normal       ---
getrandom->libc                                    0.2.183              0.2.186             0.2.186              Normal       cfg(all(any(target_os = "linux", target_os = "android"), not(any(all(target_os = "linux", target_env = ""), getrandom_backend = "custom", getrandom_backend = "linux_raw", getrandom_backend = "rdrand", getrandom_backend = "rndr"))))
getrandom->libc                                    0.2.183              0.2.186             Removed              Normal       cfg(all(any(target_os = "linux", target_os = "android"), not(any(all(target_os = "linux", target_env = ""), getrandom_backend = "custom", getrandom_backend = "linux_raw", getrandom_backend = "rdrand", getrandom_backend = "rndr"))))
getrandom->r-efi                                   5.3.0                6.0.0               6.0.0                Normal       cfg(all(target_os = "uefi", getrandom_backend = "efi_rng"))
getrandom->r-efi                                   5.3.0                6.0.0               Removed              Normal       cfg(all(target_os = "uefi", getrandom_backend = "efi_rng"))
getrandom->wasip2                                  1.0.2+wasi-0.2.9     1.0.4+wasi-0.2.12   1.0.4+wasi-0.2.12    Normal       cfg(all(target_arch = "wasm32", target_os = "wasi", target_env = "p2"))
getrandom->wasip2                                  1.0.2+wasi-0.2.9     1.0.4+wasi-0.2.12   Removed              Normal       cfg(all(target_arch = "wasm32", target_os = "wasi", target_env = "p2"))
gl_generator->log                                  0.4.29               0.4.32              0.4.32               Normal       ---
glow->js-sys                                       0.3.85               0.3.102             0.3.102              Normal       cfg(target_arch = "wasm32")
glow->js-sys                                       0.3.85               0.3.102             Removed              Normal       cfg(target_arch = "wasm32")
glow->slotmap                                      1.1.1                ---                 Removed              Normal       cfg(target_arch = "wasm32")
glow->wasm-bindgen                                 0.2.108              0.2.125             0.2.125              Normal       cfg(target_arch = "wasm32")
glow->wasm-bindgen                                 0.2.108              0.2.125             Removed              Normal       cfg(target_arch = "wasm32")
glow->web-sys                                      0.3.85               0.3.102             0.3.102              Normal       cfg(target_arch = "wasm32")
glow->web-sys                                      0.3.85               0.3.102             Removed              Normal       cfg(target_arch = "wasm32")
glutin->bitflags                                   2.10.0               2.13.0              2.13.0               Normal       ---
glutin->once_cell                                  1.21.3               1.21.4              1.21.4               Normal       ---
glutin->wayland-sys                                0.31.10              0.31.11             0.31.11              Normal       cfg(any(target_os = "linux", target_os = "freebsd", target_os = "dragonfly", target_os = "netbsd", target_os = "openbsd"))
gpu-alloc->bitflags                                2.10.0               2.13.0              Removed              Normal       ---
gpu-alloc->gpu-alloc-types                         0.3.0                ---                 Removed              Normal       ---
gpu-alloc-types->bitflags                          2.10.0               2.13.0              Removed              Normal       ---
gpu-allocator->log                                 0.4.29               0.4.32              0.4.32               Normal       ---
gpu-allocator->thiserror                           1.0.69               ---                 2.0.18               Normal       ---
gpu-allocator->windows                             0.58.0               ---                 0.62.2               Normal       cfg(windows)
gpu-descriptor->bitflags                           2.10.0               2.13.0              2.13.0               Normal       ---
gpu-descriptor-types->bitflags                     2.10.0               2.13.0              2.13.0               Normal       ---
half->zerocopy                                     0.8.36               0.8.52              0.8.52               Normal       ---
hashbrown->foldhash                                0.1.5                ---                 0.2.0                Normal       ---
hashbrown->foldhash                                0.1.5                Removed             Removed              Normal       ---
hashbrown->foldhash                                0.2.0                Removed             Removed              Normal       ---
iana-time-zone->js-sys                             0.3.85               0.3.102             0.3.102              Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone->log                                0.4.29               0.4.32              0.4.32               Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone->wasm-bindgen                       0.2.108              0.2.125             0.2.125              Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone-haiku->cc                           1.2.56               1.2.64              1.2.64               Build        ---
icu_collections->displaydoc                        0.2.5                0.2.6               0.2.6                Normal       ---
icu_collections->potential_utf                     0.1.4                0.1.5               0.1.5                Normal       ---
icu_collections->yoke                              0.8.1                0.8.3               0.8.3                Normal       ---
icu_collections->zerofrom                          0.1.6                0.1.8               0.1.8                Normal       ---
icu_collections->zerovec                           0.11.5               0.11.6              0.11.6               Normal       ---
icu_locale_core->displaydoc                        0.2.5                0.2.6               0.2.6                Normal       ---
icu_locale_core->litemap                           0.8.1                0.8.2               0.8.2                Normal       ---
icu_locale_core->tinystr                           0.8.2                0.8.3               0.8.3                Normal       ---
icu_locale_core->writeable                         0.6.2                0.6.3               0.6.3                Normal       ---
icu_locale_core->zerovec                           0.11.5               0.11.6              0.11.6               Normal       ---
icu_normalizer->icu_collections                    2.1.1                2.2.0               2.2.0                Normal       ---
icu_normalizer->icu_normalizer_data                2.1.1                2.2.0               2.2.0                Normal       ---
icu_normalizer->icu_properties                     2.1.2                2.2.0               2.2.0                Normal       ---
icu_normalizer->icu_provider                       2.1.1                2.2.0               2.2.0                Normal       ---
icu_normalizer->smallvec                           1.15.1               1.15.2              1.15.2               Normal       ---
icu_normalizer->zerovec                            0.11.5               0.11.6              0.11.6               Normal       ---
icu_properties->icu_collections                    2.1.1                2.2.0               2.2.0                Normal       ---
